时间/min,温度,x,y,x*x,"y*y(10e-6),x*y(10e-3)"
0,23.869138646458108,-0.7602002004324504,0.03135478223105217,0.5779043447375377,983.1223687567048,-23.83591173656169
1,25.170717354745694,0.5413785078551356,0.012031174711867366,0.29309068876745314,144.7491649474768,6.513419413255196
2,25.6476840516278,1.0183452047372406,0.0038677151842028577,1.0370269560113323,14.959220746113346,3.9386692111223938
3,25.98290801933519,1.353569172444633,0.007306417072710107,1.8321495045924487,53.383730440389726,9.889740910643559
4,26.356841972355717,1.7275031254651587,0.005158048027974082,2.984267048491892,26.60545945888732,8.910544089624626
5,26.692133210852447,2.0627943639618884,0.006018326588583574,4.2551205879929315,36.220254926852,12.414570167412176
6,27.09194828659786,2.4626094397073004,0.007308842602930217,6.064445252535504,53.41918019440775,17.99882478731083
7,27.543408178378513,2.914069331487955,0.007739820456424873,8.491800068718657,59.904820697692934,22.55437342329083
8,27.91751539434565,3.288176547455091,0.004730420075813058,10.812105007233683,22.376874093655218,15.554456352899232
9,28.2529646195677,3.6236257726771406,0.0064512207649219866,13.130663740410004,41.618249357760625,23.37680982900125
10,28.665869871090266,4.036531024199707,0.007312287619163567,16.29358270932674,53.46955022537279,29.516275832625155
11,29.117542587682316,4.488203740791757,0.007743469600571432,20.143972818857122,59.9613214549739,34.754269227991955
12,29.298220751251414,4.668881904360855,-0.0017208641482682197,21.798458236868246,2.9613734167949053,-8.034511481712846
13,29.375662631812126,4.746323784921568,0.004302260166958642,22.5275894713122,18.509442544199,20.419919759356436
14,29.67253350506946,5.043194658178901,0.005593435608285743,25.433812360284204,31.2865219040389,28.20878458057431
15,30.04688658967288,5.417547742782322,0.0068850005451617236,29.34982354532583,47.40323250687723,37.29981916249595
16,30.460012190592543,5.830673343701985,0.006885852818827054,33.99675164095689,47.41496904254849,40.14915847939008
17,30.86027561526079,6.230936768370231,0.006456261336781033,38.82457301142806,41.683310448813614,40.228556149556084
18,31.24767378370473,6.618334936814172,0.006457010944683717,43.80235733585505,41.69299033976531,42.734661122591724
19,31.635116936457603,7.005778089567045,0.006457760813745376,49.08092664025767,41.702674727545336,45.241639216602
20,32.02260508919363,7.393266242303074,0.00645851094412239,54.660385729578216,41.71236361534869,47.749490938725025
21,32.41013825759626,7.780799410705701,0.006459261335965157,60.54083946963818,41.722057006294385,50.25821679647181
22,32.79771645735794,8.168377610467385,0.0064600119894241935,66.72239278718486,41.73175490350433,52.76781729776345
23,33.18533970418018,8.556000857289622,0.006460762904650489,73.20515066994074,41.741457310107826,55.27829295093457
24,33.560084284353856,8.930745437463298,0.0060307231011385905,79.75821406877151,36.36962112260666,53.85885282009797
25,33.92194730757707,9.292608460686512,0.006031377672968455,86.35257200362256,36.37751663398238,56.0472311934224
26,34.29677614717981,9.667437300289254,0.006462916980456512,93.45934395502398,41.76929589627312,62.47984468553808
27,34.68457372387219,10.055234876981633,0.006463668909289311,101.10774843126782,41.77901576891327,64.99370904994771
28,35.046557435685855,10.417218588795297,0.005602454817832717,108.51844312674228,31.38749998585702,58.36199647121275
29,35.39565242774844,10.76631358085788,0.006034044917586812,115.91350812136481,36.40969806745524,64.96441974372135
平均值, ,5.632630331892665,0.007269068158476724,41.067897218382704,7.632568932900731e-05,0.03360668760156222
a:0.011693280938725771,b:-0.0007854612356146637,r:-0.49536173943628314
还有最后一步没有算，因为考虑到要算那个值还要再输入四个数据，只为了这一步增加你的工作量不划算，所以就请你自己算出来吧！！
